Gene ID,Input Order,Organism,Genomic Location (Gene),Product Description,Gene Type,Input ID,Interpro ID,Interpro Description,Protein Length,CDS Length,Transcript Product Description,Curated GO Processes,Curated GO Functions,Curated GO Components,Computed GO Processes,Computed GO Functions,Computed GO Components,PFam Description,PFam ID
CNAG_06666,28,Cryptococcus neoformans var. grubii H99,"CP003826.1:420,942..425,599(+)",starch phosphorylase,protein coding gene,CNAG_06666,IPR000811;IPR011833;IPR035090,"Glycosyl transferase, family 35;Glycogen/starch/alpha-glucan phosphorylase;Phosphorylase pyridoxal-phosphate attachment site",927,2784,starch phosphorylase,N/A,N/A,N/A,carbohydrate metabolic process,"1,4-alpha-oligoglucan phosphorylase activity;SHG alpha-glucan phosphorylase activity;glycogen phosphorylase activity;linear malto-oligosaccharide phosphorylase activity;pyridoxal phosphate binding",N/A,"Glycosyl transferase, family 35",PF00343
CNAG_06396,29,Cryptococcus neoformans var. grubii H99,"CP003832.1:374,705..375,632(+)",hypothetical protein,protein coding gene,CNAG_06396,N/A,N/A,203,612,hypothetical protein,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
CNAG_04105,30,Cryptococcus neoformans var. grubii H99,"CP003828.1:17,302..17,916(-)",hypothetical protein,protein coding gene,CNAG_04105,N/A,N/A,77,234,hypothetical protein,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
CNAG_06238,31,Cryptococcus neoformans var. grubii H99,"CP003831.1:704,064..705,834(-)",Glutathione S-transferase,protein coding gene,CNAG_06238,IPR004045;IPR005442;IPR036249;IPR036282;IPR040079,"Glutathione S-transferase, N-terminal;Glutathione S-transferase, omega-class;Thioredoxin-like superfamily;Glutathione S-transferase, C-terminal domain superfamily;Glutathione Transferase family",262,789,Glutathione S-transferase,N/A,N/A,N/A,N/A,glutathione transferase activity;oxidoreductase activity;protein binding,cytoplasm,"Glutathione S-transferase, N-terminal",PF13409;PF13410
CNAG_04903,32,Cryptococcus neoformans var. grubii H99,"CP003829.1:71,514..73,232(+)",hypothetical protein,protein coding gene,CNAG_04903,N/A,N/A,177,534,hypothetical protein,cellular response to heat,N/A,N/A,N/A,N/A,N/A,N/A,N/A
CNAG_05785,33,Cryptococcus neoformans var. grubii H99,"CP003826.1:859,695..864,161(-)",putative transcription factor,protein coding gene,CNAG_05785,IPR001138;IPR036864,Zn(2)-C6 fungal-type DNA-binding domain;Zn(2)-C6 fungal-type DNA-binding domain superfamily,922,2769,putative transcription factor,response to dithiothreitol,N/A,N/A,"regulation of transcription, DNA-templated","DNA-binding transcription factor activity, RNA polymerase II-specific;zinc ion binding",host cell nucleus,Zn(2)-C6 fungal-type DNA-binding domain,PF00172
CNAG_02044,34,Cryptococcus neoformans var. grubii H99,"CP003825.1:1,346,531..1,347,946(+)",hypothetical protein,protein coding gene,CNAG_02044,N/A,N/A,110,333,hypothetical protein,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
CNAG_05993,35,Cryptococcus neoformans var. grubii H99,"CP003831.1:27,775..30,757(-)","transmembrane transporter Liz1p, transmembrane transporter Liz1p, variant",protein coding gene,CNAG_05993,IPR011701;IPR036259,Major facilitator superfamily;MFS transporter superfamily,488,1467,"transmembrane transporter Liz1p, variant",N/A,N/A,N/A,transmembrane transport,transmembrane transporter activity,integral component of membrane,Major facilitator superfamily,PF07690
CNAG_04621,36,Cryptococcus neoformans var. grubii H99,"CP003829.1:855,660..859,244(-)","glycogen(starch) synthase, glycogen(starch) synthase, variant",protein coding gene,CNAG_04621,IPR008631,Glycogen synthase,733,2202,"glycogen(starch) synthase, variant",N/A,N/A,N/A,glycogen biosynthetic process,glycogen (starch) synthase activity,N/A,Glycogen synthase,PF05693
CNAG_04523,37,Cryptococcus neoformans var. grubii H99,"CP003828.1:1,082,957..1,084,788(+)","glyceraldehyde-3-phosphate dehydrogenase, type I",protein coding gene,CNAG_04523,IPR006424;IPR020828;IPR020829;IPR020830;IPR020831;IPR036291,"Glyceraldehyde-3-phosphate dehydrogenase, type I;Glyceraldehyde 3-phosphate dehydrogenase, NAD(P) binding domain;Glyceraldehyde 3-phosphate dehydrogenase, catalytic domain;Glyceraldehyde 3-phosphate dehydrogenase, active site;Glyceraldehyde/Erythrose phosphate dehydrogenase family;NAD(P)-binding domain superfamily",382,1149,"glyceraldehyde-3-phosphate dehydrogenase, type I",N/A,N/A,N/A,glucose metabolic process;glycolytic process;obsolete oxidation-reduction process,"NAD binding;NADP binding;glyceraldehyde-3-phosphate dehydrogenase (NAD+) (phosphorylating) activity;oxidoreductase activity, acting on the aldehyde or oxo group of donors, NAD or NADP as acceptor",cytoplasm,"Glyceraldehyde 3-phosphate dehydrogenase, NAD(P) binding domain;Glyceraldehyde 3-phosphate dehydrogenase, catalytic domain",PF00044;PF02800
CNAG_00995,38,Cryptococcus neoformans var. grubii H99,"CP003824.1:1,483,174..1,485,852(+)","hypothetical protein, hypothetical protein, variant",protein coding gene,CNAG_00995,IPR018803,Putative stress-responsive protein,649,1950,hypothetical protein,N/A,N/A,N/A,N/A,N/A,N/A,Putative stress-responsive protein,PF10281
CNAG_04623,39,Cryptococcus neoformans var. grubii H99,"CP003829.1:850,966..852,517(+)",hypothetical protein,protein coding gene,CNAG_04623,N/A,N/A,300,903,hypothetical protein,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
CNAG_03746,40,Cryptococcus neoformans var. grubii H99,"CP003821.1:684,912..686,389(+)",hypothetical protein,protein coding gene,CNAG_03746,N/A,N/A,342,1029,hypothetical protein,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
CNAG_03572,41,Cryptococcus neoformans var. grubii H99,"CP003827.1:1,304,365..1,306,281(+)",opsin 1,protein coding gene,CNAG_03572,IPR001425,Archaeal/bacterial/fungal rhodopsins,328,987,opsin 1,N/A,N/A,N/A,ion transport,ion channel activity,integral component of membrane;membrane,Archaeal/bacterial/fungal rhodopsins,PF01036
CNAG_01558,42,Cryptococcus neoformans var. grubii H99,"CP003830.1:273,730..275,817(+)",chlorophyll synthesis pathway protein BchC,protein coding gene,CNAG_01558,IPR002328;IPR011032;IPR013149;IPR013154;IPR036291,"Alcohol dehydrogenase, zinc-type, conserved site;GroES-like superfamily;Alcohol dehydrogenase, C-terminal;Alcohol dehydrogenase, N-terminal;NAD(P)-binding domain superfamily",349,1050,chlorophyll synthesis pathway protein BchC,N/A,N/A,N/A,obsolete oxidation-reduction process,oxidoreductase activity;zinc ion binding,N/A,"Alcohol dehydrogenase, C-terminal;Alcohol dehydrogenase, N-terminal",PF00107;PF08240
CNAG_03910,43,Cryptococcus neoformans var. grubii H99,"CP003821.1:1,159,116..1,162,209(-)","myo-inositol transporter, putative",protein coding gene,CNAG_03910,IPR003663;IPR005828;IPR005829;IPR036259,"Sugar/inositol transporter;Major facilitator,  sugar transporter-like;Sugar transporter, conserved site;MFS transporter superfamily",678,2037,"myo-inositol transporter, putative",N/A,N/A,N/A,transmembrane transport,transmembrane transporter activity,integral component of membrane;membrane,"Major facilitator,  sugar transporter-like",PF00083
CNAG_05939,44,Cryptococcus neoformans var. grubii H99,"CP003826.1:1,266,326..1,268,709(-)","hypothetical protein, hypothetical protein, variant",protein coding gene,CNAG_05939,N/A,N/A,85,258,"hypothetical protein, variant",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
CNAG_06931,45,Cryptococcus neoformans var. grubii H99,"CP003822.1:1,553,033..1,556,245(-)",Beta-glucosidase,protein coding gene,CNAG_06931,IPR001764;IPR002772;IPR011658;IPR017853;IPR019800;IPR026891;IPR036881,"Glycoside hydrolase, family 3, N-terminal;Glycoside hydrolase family 3 C-terminal domain;PA14 domain;Glycoside hydrolase superfamily;Glycoside hydrolase, family 3, active site;Fibronectin type III-like domain;Glycoside hydrolase family 3 C-terminal domain superfamily",862,2589,Beta-glucosidase,N/A,N/A,N/A,carbohydrate metabolic process;cellulose catabolic process,"beta-glucosidase activity;hydrolase activity, hydrolyzing O-glycosyl compounds;scopolin beta-glucosidase activity",N/A,"Glycoside hydrolase, family 3, N-terminal;Glycoside hydrolase family 3 C-terminal domain;PA14 domain;Fibronectin type III-like domain",PF00933;PF01915;PF07691;PF14310
CNAG_06668,46,Cryptococcus neoformans var. grubii H99,"CP003826.1:427,759..429,428(-)",mitochondrial protein,protein coding gene,CNAG_06668,IPR007667;IPR040153,"Hypoxia induced protein, domain;Respiratory supercomplex factor 2, mitochondrial",238,717,mitochondrial protein,N/A,N/A,N/A,N/A,N/A,integral component of membrane,"Hypoxia induced protein, domain",PF04588
CNAG_00866,47,Cryptococcus neoformans var. grubii H99,"CP003824.1:1,786,826..1,790,169(-)","transketolase, transketolase, variant",protein coding gene,CNAG_00866,IPR005474;IPR005475;IPR029061,"Transketolase, N-terminal;Transketolase-like, pyrimidine-binding domain;Thiamin diphosphate-binding fold",477,1434,"transketolase, variant",N/A,N/A,N/A,N/A,N/A,N/A,"Transketolase, N-terminal;Transketolase-like, pyrimidine-binding domain",PF00456;PF02779
CNAG_02526,48,Cryptococcus neoformans var. grubii H99,"CP003825.1:84,920..86,031(-)",hypothetical protein,protein coding gene,CNAG_02526,N/A,N/A,214,645,hypothetical protein,cellular response to heat;cellular response to salt stress,N/A,N/A,N/A,N/A,N/A,N/A,N/A
CNAG_03873,49,Cryptococcus neoformans var. grubii H99,"CP003821.1:1,057,709..1,059,821(-)","hypothetical protein, variant, hypothetical protein",protein coding gene,CNAG_03873,IPR004018,RPEL repeat,193,582,"hypothetical protein, variant",N/A,N/A,N/A,N/A,N/A,N/A,RPEL repeat,PF02755
CNAG_03492,50,Cryptococcus neoformans var. grubii H99,"CP003827.1:1,098,747..1,100,794(+)",hypothetical protein,protein coding gene,CNAG_03492,N/A,N/A,434,1305,hypothetical protein,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
CNAG_07840,51,Cryptococcus neoformans var. grubii H99,"CP003829.1:46,773..48,456(+)",hypothetical protein,protein coding gene,CNAG_07840,N/A,N/A,92,279,hypothetical protein,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
CNAG_06672,52,Cryptococcus neoformans var. grubii H99,"CP003826.1:437,496..439,763(+)",formate dehydrogenase,protein coding gene,CNAG_06672,IPR006139;IPR006140;IPR029752;IPR029753;IPR033689;IPR036291,"D-isomer specific 2-hydroxyacid dehydrogenase, catalytic domain;D-isomer specific 2-hydroxyacid dehydrogenase, NAD-binding domain;D-isomer specific 2-hydroxyacid dehydrogenase, NAD-binding domain conserved site 1;D-isomer specific 2-hydroxyacid dehydrogenase, NAD-binding domain conserved site;NAD-dependent formate dehydrogenase;NAD(P)-binding domain superfamily",373,1122,formate dehydrogenase,N/A,N/A,N/A,formate catabolic process;obsolete oxidation-reduction process,"NAD binding;formate dehydrogenase (NAD+) activity;oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor",cytoplasm;formate dehydrogenase complex,"D-isomer specific 2-hydroxyacid dehydrogenase, catalytic domain;D-isomer specific 2-hydroxyacid dehydrogenase, NAD-binding domain",PF00389;PF02826
CNAG_01680,53,Cryptococcus neoformans var. grubii H99,"CP003830.1:587,085..590,245(-)",3-methylcrotonyl-CoA carboxylase alpha subunit,protein coding gene,CNAG_01680,IPR000089;IPR005479;IPR005481;IPR005482;IPR011053;IPR011054;IPR016185,"Biotin/lipoyl attachment;Carbamoyl-phosphate synthetase large subunit-like, ATP-binding domain;Biotin carboxylase-like, N-terminal domain;Biotin carboxylase, C-terminal;Single hybrid motif;Rudiment single hybrid motif;Pre-ATP-grasp domain superfamily",735,2208,3-methylcrotonyl-CoA carboxylase alpha subunit,N/A,N/A,N/A,N/A,ATP binding;ligase activity;metal ion binding,N/A,"Biotin carboxylase-like, N-terminal domain;Biotin/lipoyl attachment;Biotin carboxylase, C-terminal;Carbamoyl-phosphate synthetase large subunit-like, ATP-binding domain",PF00289;PF00364;PF02785;PF02786
CNAG_01384,54,Cryptococcus neoformans var. grubii H99,"CP003824.1:436,321..439,954(+)",hypothetical protein,protein coding gene,CNAG_01384,IPR011701;IPR036259,Major facilitator superfamily;MFS transporter superfamily,534,1605,hypothetical protein,N/A,N/A,N/A,transmembrane transport,transmembrane transporter activity,integral component of membrane,Major facilitator superfamily,PF07690
CNAG_02083,55,Cryptococcus neoformans var. grubii H99,"CP003825.1:1,241,856..1,245,214(-)",siderochrome-iron transporter,protein coding gene,CNAG_02083,IPR011701;IPR036259,Major facilitator superfamily;MFS transporter superfamily,643,1932,siderochrome-iron transporter,N/A,N/A,N/A,transmembrane transport,transmembrane transporter activity,integral component of membrane,Major facilitator superfamily,PF07690
CNAG_05641,56,Cryptococcus neoformans var. grubii H99,"CP003833.2:853,581..854,668(-)","hypothetical protein, variant, hypothetical protein",protein coding gene,CNAG_05641,N/A,N/A,97,294,"hypothetical protein, variant",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
CNAG_03113,57,Cryptococcus neoformans var. grubii H99,"CP003827.1:79,616..83,445(-)",trehalose synthase,protein coding gene,CNAG_03113,IPR001296,"Glycosyl transferase, family 1",734,2205,trehalose synthase,N/A,N/A,N/A,N/A,N/A,N/A,"Glycosyl transferase, family 1",PF00534
CNAG_01031,58,Cryptococcus neoformans var. grubii H99,"CP003824.1:1,392,996..1,394,665(+)",hypothetical protein,protein coding gene,CNAG_01031,IPR004345,TB2/DP1/HVA22-related protein,389,1170,hypothetical protein,N/A,N/A,N/A,N/A,N/A,integral component of membrane,TB2/DP1/HVA22-related protein,PF03134
CNAG_00979,59,Cryptococcus neoformans var. grubii H99,"CP003824.1:1,517,506..1,520,015(+)",Copper uptake transporter,protein coding gene,CNAG_00979,IPR007274,Ctr copper transporter,197,594,Copper uptake transporter,copper ion import,"oxidoreductase activity, acting on diphenols and related substances as donors, oxygen as acceptor",plasma membrane,cellular copper ion homeostasis;copper ion transmembrane transport,copper ion transmembrane transporter activity,integral component of membrane,Ctr copper transporter,PF04145
CNAG_06868,60,Cryptococcus neoformans var. grubii H99,"CP003824.1:29,966..32,087(-)",Phosphopyruvate hydratase,protein coding gene,CNAG_06868,IPR000941;IPR020810;IPR036849,"Enolase;Enolase, C-terminal TIM barrel domain;Enolase-like, C-terminal domain superfamily",331,996,Phosphopyruvate hydratase,N/A,N/A,N/A,glycolytic process,magnesium ion binding;phosphopyruvate hydratase activity,phosphopyruvate hydratase complex,"Enolase, C-terminal TIM barrel domain",PF00113
CNAG_04322,61,Cryptococcus neoformans var. grubii H99,"CP003828.1:562,318..563,238(+)",hypothetical protein,protein coding gene,CNAG_04322,N/A,N/A,113,342,hypothetical protein,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
CNAG_03346,62,Cryptococcus neoformans var. grubii H99,"CP003827.1:706,174..708,222(-)","bZip transcription factor, putative",protein coding gene,CNAG_03346,IPR004827,Basic-leucine zipper domain,341,1026,"bZip transcription factor, putative",capsule organization;melanin biosynthetic process;response to salt stress,N/A,N/A,"regulation of transcription, DNA-templated",DNA-binding transcription factor activity,N/A,N/A,N/A
CNAG_07456,63,Cryptococcus neoformans var. grubii H99,"CP003824.1:1,792,035..1,794,428(+)","hypothetical protein, hypothetical protein, variant",protein coding gene,CNAG_07456,N/A,N/A,104,315,hypothetical protein,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
CNAG_01603,64,Cryptococcus neoformans var. grubii H99,"CP003830.1:393,348..395,104(-)",hypothetical protein,protein coding gene,CNAG_01603,N/A,N/A,331,996,hypothetical protein,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
CNAG_06291,65,Cryptococcus neoformans var. grubii H99,"CP003832.1:108,796..111,047(-)",polysaccharide deacetylase,protein coding gene,CNAG_06291,IPR002509;IPR011330,"NodB homology domain;Glycoside hydrolase/deacetylase, beta/alpha-barrel",249,750,polysaccharide deacetylase,N/A,N/A,extracellular region,carbohydrate metabolic process,"catalytic activity;hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds",N/A,NodB homology domain,PF01522
CNAG_05383,66,Cryptococcus neoformans var. grubii H99,"CP003833.2:159,165..161,361(-)","hypothetical protein, hypothetical protein, variant 1, hypothetical protein, variant 2",protein coding gene,CNAG_05383,IPR013022;IPR036237,"Xylose isomerase-like, TIM barrel domain;Xylose isomerase-like superfamily",381,1146,"hypothetical protein, variant 2",N/A,N/A,N/A,N/A,N/A,N/A,"Xylose isomerase-like, TIM barrel domain",PF01261
CNAG_00522,67,Cryptococcus neoformans var. grubii H99,"CP003820.1:1,333,022..1,337,061(+)","C2 domain-containing protein, variant, C2 domain-containing protein",protein coding gene,CNAG_00522,IPR000008;IPR037765;IPR037767,"C2 domain;Tricalbin, C2B domain;Mug190-like, C2A domain",1082,3249,C2 domain-containing protein,N/A,N/A,N/A,endoplasmic reticulum-plasma membrane tethering;lipid transport,lipid binding,integral component of membrane,C2 domain,PF00168
CNAG_02129,68,Cryptococcus neoformans var. grubii H99,"CP003825.1:1,119,816..1,124,027(-)",hypothetical protein,protein coding gene,CNAG_02129,IPR027842,Protein of unknown function DUF4449,908,2727,hypothetical protein,N/A,N/A,N/A,N/A,N/A,N/A,Protein of unknown function DUF4449,PF14613
CNAG_06267,69,Cryptococcus neoformans var. grubii H99,"CP003832.1:34,263..36,704(-)",hypothetical protein,protein coding gene,CNAG_06267,IPR039254,Protein Rds1,383,1152,hypothetical protein,N/A,N/A,N/A,N/A,N/A,N/A,N/A,PF13668
CNAG_05387,70,Cryptococcus neoformans var. grubii H99,"CP003833.2:172,542..175,698(-)",galactose transporter,protein coding gene,CNAG_05387,IPR003663;IPR005828;IPR005829;IPR036259,"Sugar/inositol transporter;Major facilitator,  sugar transporter-like;Sugar transporter, conserved site;MFS transporter superfamily",550,1653,galactose transporter,N/A,N/A,N/A,transmembrane transport,transmembrane transporter activity,integral component of membrane;membrane,"Major facilitator,  sugar transporter-like",PF00083
CNAG_00598,71,Cryptococcus neoformans var. grubii H99,"CP003820.1:1,538,349..1,540,900(+)",nicotinamide mononucleotide permease,protein coding gene,CNAG_00598,IPR011701;IPR036259,Major facilitator superfamily;MFS transporter superfamily,499,1500,nicotinamide mononucleotide permease,N/A,N/A,N/A,transmembrane transport,transmembrane transporter activity,integral component of membrane,Major facilitator superfamily,PF07690
