gene	geneName	log2FC_30	padj_30	log2FC_37	padj_37	log2FC_EGTA	padj_EGTA	total	Gene ID	Input Order	Organism	Genomic Location (Gene)	Product Description	Gene Type	Input ID	Interpro ID	Interpro Description	Protein Length	CDS Length	Transcript Product Description	Curated GO Processes	Curated GO Functions	Curated GO Components	Computed GO Processes	Computed GO Functions	Computed GO Components	PFam Description	PFam ID	Gene Name or Symbol
CNAG_04735	MEP1	-4.086	1.0799999999999998e-86	-4.07	1.3299999999999994e-209	-3.972	1.2879999999999996e-125	-12.128	CNAG_04735	23	Cryptococcus neoformans var. grubii H99	"CP003829.1:544,142..547,379(+)"	extracellular elastinolytic metalloproteinase	protein coding gene	CNAG_04735	IPR001842;IPR011096	"Peptidase M36, fungalysin;FTP domain"	831	2496	extracellular elastinolytic metalloproteinase	N/A	N/A	extracellular region	N/A	metalloendopeptidase activity;zinc ion binding	extracellular space	"Peptidase M36, fungalysin;FTP domain"	PF02128;PF07504	MEP1
CNAG_03224	NA	-4.271	1.169e-18	-4.112	2.317e-19	-3.441	5.869e-14	-11.824	CNAG_03224	24	Cryptococcus neoformans var. grubii H99	"CP003827.1:385,970..386,833(-)"	hypothetical protein	protein coding gene	CNAG_03224	N/A	N/A	211	636	hypothetical protein	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
CNAG_02734	NA	-2.913	0.008192	-5.356	1.078e-4	-3.538	4.605e-11	-11.807	CNAG_02734	25	Cryptococcus neoformans var. grubii H99	"CP003822.1:879,406..880,170(-)"	hypothetical protein	protein coding gene	CNAG_02734	IPR036291	NAD(P)-binding domain superfamily	105	318	hypothetical protein	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
CNAG_01735	NA	-4.944	2.134e-24	-3.454	1.0379999999999999e-138	-3.35	2.3419999999999986e-193	-11.748	CNAG_01735	26	Cryptococcus neoformans var. grubii H99	"CP003830.1:753,206..753,908(-)"	hypothetical protein	protein coding gene	CNAG_01735	N/A	N/A	71	216	hypothetical protein	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
CNAG_04105	NA	-3.431	6.751999999999998e-42	-3.016	7.839999999999997e-119	-5.213	0	-11.66	CNAG_04105	27	Cryptococcus neoformans var. grubii H99	"CP003828.1:17,302..17,916(-)"	hypothetical protein	protein coding gene	CNAG_04105	N/A	N/A	77	234	hypothetical protein	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
CNAG_05387	NA	-4.176	2.461e-57	-3.679	2.1669999999999992e-103	-3.687	9.355999999999996e-146	-11.542	CNAG_05387	28	Cryptococcus neoformans var. grubii H99	"CP003833.2:172,542..175,698(-)"	galactose transporter	protein coding gene	CNAG_05387	IPR003663;IPR005828;IPR005829;IPR036259	"Sugar/inositol transporter;Major facilitator,  sugar transporter-like;Sugar transporter, conserved site;MFS transporter superfamily"	550	1653	galactose transporter	N/A	N/A	N/A	transmembrane transport	transmembrane transporter activity	integral component of membrane;membrane	"Major facilitator,  sugar transporter-like"	PF00083	N/A
CNAG_03519	NA	-4.321	6.336e-10	-3.997	1.083e-4	-3.203	2.716e-8	-11.521	CNAG_03519	29	Cryptococcus neoformans var. grubii H99	"CP003827.1:1,173,522..1,176,609(+)"	"cytoplasmic protein, cytoplasmic protein, variant 1, cytoplasmic protein, variant 2"	protein coding gene	CNAG_03519	IPR002830;IPR032903	UbiD decarboxylyase family;UbiD-like decarboxylase/ferulic acid decarboxylase 1	447	1344	cytoplasmic protein	N/A	N/A	N/A	cinnamic acid catabolic process;ferulate metabolic process	carboxy-lyase activity;metal ion binding	cytoplasm	UbiD decarboxylyase family	PF01977	N/A
CNAG_01446	HSP12	-5.252	1.444999999999999e-129	-3.246	4.3409999999999977e-206	-2.742	6.981999999999997e-91	-11.24	CNAG_01446	1	Cryptococcus neoformans var. grubii H99	"CP003824.1:290,468..291,329(-)"	"heat shock protein, 12Kda"	protein coding gene	CNAG_01446	IPR007250	Heat shock protein 9/12	70	213	"heat shock protein, 12Kda"	N/A	N/A	N/A	N/A	N/A	N/A	Heat shock protein 9/12	PF04119	HSP12
CNAG_00932	NA	-4.494	7.104999999999999e-70	-2.731	1.3299999999999995e-128	-3.869	7.468999999999997e-252	-11.094	CNAG_00932	2	Cryptococcus neoformans var. grubii H99	"CP003824.1:1,598,930..1,600,234(+)"	hypothetical protein	protein coding gene	CNAG_00932	IPR016040;IPR036291	NAD(P)-binding domain;NAD(P)-binding domain superfamily	241	726	hypothetical protein	N/A	N/A	N/A	N/A	N/A	N/A	NAD(P)-binding domain	PF13460	N/A
CNAG_04553	NA	-5.517	4.812e-6	-3.258	3.209e-31	-2.259	2.837e-16	-11.034	CNAG_04553	3	Cryptococcus neoformans var. grubii H99	"CP003829.1:1,045,485..1,047,678(+)"	hypothetical protein	protein coding gene	CNAG_04553	IPR002347;IPR036291	Short-chain dehydrogenase/reductase SDR;NAD(P)-binding domain superfamily	286	861	hypothetical protein	N/A	N/A	N/A	N/A	N/A	N/A	Short-chain dehydrogenase/reductase SDR	PF00106	N/A
CNAG_04675	NA	-3.512	5.37e-50	-3.83	4.1169999999999976e-259	-3.458	7.124999999999999e-89	-10.8	CNAG_04675	4	Cryptococcus neoformans var. grubii H99	"CP003829.1:720,936..721,756(-)"	hypothetical protein	protein coding gene	CNAG_04675	N/A	N/A	234	705	hypothetical protein	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
CNAG_03143	NA	-3.799	1.106e-51	-2.83	1.0239999999999996e-92	-4.001	2.881999999999999e-242	-10.63	CNAG_03143	5	Cryptococcus neoformans var. grubii H99	"CP003827.1:173,772..175,188(+)"	hypothetical protein	protein coding gene	CNAG_03143	IPR007250	Heat shock protein 9/12	83	252	hypothetical protein	N/A	N/A	N/A	N/A	N/A	N/A	Heat shock protein 9/12	PF04119	N/A
CNAG_05641	NA	-3.902	3.23e-6	-2.064	1.038e-5	-4.534	2.348e-35	-10.5	CNAG_05641	6	Cryptococcus neoformans var. grubii H99	"CP003833.2:853,581..854,668(-)"	"hypothetical protein, variant, hypothetical protein"	protein coding gene	CNAG_05641	N/A	N/A	97	294	"hypothetical protein, variant"	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
CNAG_00586	NA	-4.228	9.978999999999999e-69	-3.406	6.172000000000001e-78	-2.707	2.702e-39	-10.341	CNAG_00586	7	Cryptococcus neoformans var. grubii H99	"CP003820.1:1,507,483..1,508,585(+)"	hypothetical protein	protein coding gene	CNAG_00586	N/A	N/A	109	330	hypothetical protein	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
CNAG_03084	NA	-3.569	5.543999999999999e-34	-2.889	1.0049999999999999e-60	-3.87	4.5019999999999986e-125	-10.328	CNAG_03084	8	Cryptococcus neoformans var. grubii H99	"CP003827.1:13,460..16,180(-)"	endoribonuclease L-PSP	protein coding gene	CNAG_03084	IPR006175;IPR035959	YjgF/YER057c/UK114 family;RutC-like superfamily	148	447	endoribonuclease L-PSP	N/A	N/A	N/A	N/A	N/A	N/A	YjgF/YER057c/UK114 family	PF01042	N/A
CNAG_06493	NA	-3.625	7.079e-9	-1.84	3.693e-5	-4.8	8.404e-20	-10.265	CNAG_06493	9	Cryptococcus neoformans var. grubii H99	"CP003832.1:664,003..665,206(-)"	hypothetical protein	protein coding gene	CNAG_06493	N/A	N/A	232	699	hypothetical protein	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
CNAG_05915	NA	-3.564	1.809e-35	-2.56	1.438e-48	-4.107	8.561999999999997e-124	-10.231	CNAG_05915	10	Cryptococcus neoformans var. grubii H99	"CP003826.1:1,206,237..1,209,084(-)"	hypothetical protein	protein coding gene	CNAG_05915	N/A	N/A	631	1896	hypothetical protein	cellular response to heat	N/A	N/A	N/A	N/A	integral component of membrane	N/A	N/A	N/A
CNAG_05654	NA	-3.583	7.584999999999999e-82	-3.427	8.236999999999995e-236	-3.025	2.6039999999999995e-68	-10.035	CNAG_05654	11	Cryptococcus neoformans var. grubii H99	"CP003833.2:887,263..888,724(+)"	hypothetical protein	protein coding gene	CNAG_05654	IPR009571	"Membrane protein SUR7/Rim9-like, fungi"	213	642	hypothetical protein	cellular response to heat	N/A	N/A	N/A	N/A	integral component of membrane;plasma membrane	"Membrane protein SUR7/Rim9-like, fungi"	PF06687	N/A
CNAG_02706	NA	-2.184	0.001455	-3.292	2.591e-40	-4.558	3.974e-66	-10.034	CNAG_02706	12	Cryptococcus neoformans var. grubii H99	"CP003822.1:951,956..953,329(+)"	hypothetical protein	protein coding gene	CNAG_02706	N/A	N/A	328	987	hypothetical protein	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
CNAG_06336	NA	-4.288	1.6919999999999996e-140	-3.277	3.4129999999999973e-169	-2.444	1.552e-64	-10.009	CNAG_06336	13	Cryptococcus neoformans var. grubii H99	"CP003832.1:226,361..229,048(-)"	"glucan 1,3-beta-glucosidase"	protein coding gene	CNAG_06336	IPR000490;IPR017853	Glycoside hydrolase family 17;Glycoside hydrolase superfamily	496	1491	"glucan 1,3-beta-glucosidase"	N/A	N/A	N/A	carbohydrate metabolic process	"hydrolase activity, hydrolyzing O-glycosyl compounds"	cell wall;integral component of membrane	Glycoside hydrolase family 17	PF00332	N/A
CNAG_03873	NA	-3.549	7.075000000000001e-32	-2.543	1.8989999999999998e-47	-3.894	1.0669999999999995e-118	-9.986	CNAG_03873	14	Cryptococcus neoformans var. grubii H99	"CP003821.1:1,057,709..1,059,821(-)"	"hypothetical protein, variant, hypothetical protein"	protein coding gene	CNAG_03873	IPR004018	RPEL repeat	193	582	"hypothetical protein, variant"	N/A	N/A	N/A	N/A	N/A	N/A	RPEL repeat	PF02755	N/A
CNAG_02685	NA	-3.674	2.268e-60	-2.658	3.756999999999999e-68	-3.609	3.552999999999999e-95	-9.941	CNAG_02685	15	Cryptococcus neoformans var. grubii H99	"CP003822.1:1,018,998..1,021,264(-)"	hypothetical protein	protein coding gene	CNAG_02685	IPR000782;IPR036378	FAS1 domain;FAS1 domain superfamily	502	1509	hypothetical protein	N/A	N/A	N/A	N/A	N/A	N/A	FAS1 domain	PF02469	N/A
CNAG_04185	NA	-3.85	1.113e-15	-2.726	6.57e-19	-3.248	2.964e-29	-9.824	CNAG_04185	16	Cryptococcus neoformans var. grubii H99	"CP003828.1:232,478..233,891(-)"	hypothetical protein	protein coding gene	CNAG_04185	N/A	N/A	256	771	hypothetical protein	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
CNAG_03492	NA	-3.106	2.146e-44	-2.334	9.678999999999998e-84	-4.34	5.289999999999997e-147	-9.78	CNAG_03492	17	Cryptococcus neoformans var. grubii H99	"CP003827.1:1,098,747..1,100,794(+)"	hypothetical protein	protein coding gene	CNAG_03492	N/A	N/A	434	1305	hypothetical protein	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
CNAG_04837	MLN1	-3.109	0.003211	-2.226	0.003047	-4.437	1.151e-23	-9.772	CNAG_04837	18	Cryptococcus neoformans var. grubii H99	"CP003829.1:272,013..274,860(-)"	bHLH family transcription factor	protein coding gene	CNAG_04837	IPR011598;IPR036638	"Myc-type, basic helix-loop-helix (bHLH) domain;Helix-loop-helix DNA-binding domain superfamily"	551	1656	bHLH family transcription factor	heat acclimation;melanin biosynthetic process;negative regulation of capsule organization;regulation of urease activity;response to diamide;response to tunicamycin	N/A	N/A	N/A	protein dimerization activity	N/A	"Myc-type, basic helix-loop-helix (bHLH) domain"	PF00010	MLN1
CNAG_05300	NA	-2.772	4.713e-18	-3.012	7.026999999999998e-39	-3.955	5.734999999999997e-94	-9.739	CNAG_05300	19	Cryptococcus neoformans var. grubii H99	"CP003823.1:978,223..981,320(+)"	mitochondrial carrier protein	protein coding gene	CNAG_05300	IPR004776;IPR018108;IPR023395	Membrane transport protein;Mitochondrial substrate/solute carrier;Mitochondrial carrier domain superfamily	680	2043	mitochondrial carrier protein	N/A	N/A	N/A	transmembrane transport	N/A	integral component of membrane	Mitochondrial substrate/solute carrier;Membrane transport protein	PF00153;PF03547	N/A
CNAG_02839	NA	-4.437	6.5150000000000005e-28	-2.773	1.608e-28	-2.431	5.29e-42	-9.641	CNAG_02839	20	Cryptococcus neoformans var. grubii H99	"CP003822.1:643,021..645,122(+)"	hypothetical protein	protein coding gene	CNAG_02839	IPR023753;IPR036188	FAD/NAD(P)-binding domain;FAD/NAD(P)-binding domain superfamily	435	1308	hypothetical protein	N/A	N/A	N/A	obsolete oxidation-reduction process	oxidoreductase activity	N/A	FAD/NAD(P)-binding domain	PF07992	N/A
CNAG_00587	NA	-4.964	3.759e-33	-2.373	6.184e-13	-2.282	1.065e-9	-9.619	CNAG_00587	1	Cryptococcus neoformans var. grubii H99	"CP003820.1:1,508,791..1,510,506(-)"	hypothetical protein	protein coding gene	CNAG_00587	IPR000772;IPR035992	"Ricin B, lectin domain;Ricin B-like lectins"	185	558	hypothetical protein	N/A	N/A	N/A	N/A	N/A	N/A	"Ricin B, lectin domain"	PF00652	N/A
CNAG_06009	NA	-2.978	5.315e-12	-3.488	4.0469999999999994e-22	-3.088	6.729e-18	-9.554	CNAG_06009	2	Cryptococcus neoformans var. grubii H99	"CP003831.1:65,643..68,360(+)"	cyclohydrolase	protein coding gene	CNAG_06009	IPR000926;IPR022163;IPR032677;IPR036144	"GTP cyclohydrolase II, RibA;GTP cyclohydrolase N-terminal;GTP cyclohydrolase II;RibA-like superfamily"	562	1689	cyclohydrolase	N/A	N/A	N/A	riboflavin biosynthetic process	GTP binding;GTP cyclohydrolase II activity	N/A	GTP cyclohydrolase II;GTP cyclohydrolase N-terminal	PF00925;PF12471	N/A
CNAG_05310	NA	-3.612	6.149e-6	-2.154	3.056e-6	-3.737	5.307e-21	-9.503	CNAG_05310	3	Cryptococcus neoformans var. grubii H99	"CP003823.1:1,013,480..1,014,967(+)"	nipsnap family protein	protein coding gene	CNAG_05310	IPR011008;IPR012577	Dimeric alpha-beta barrel;NIPSNAP	323	972	nipsnap family protein	N/A	N/A	N/A	N/A	N/A	N/A	NIPSNAP	PF07978	N/A
CNAG_02070	NA	-3.372	2.367e-47	-2.465	1.0639999999999998e-70	-3.598	1.1269999999999995e-143	-9.435	CNAG_02070	4	Cryptococcus neoformans var. grubii H99	"CP003825.1:1,279,201..1,281,526(+)"	hypothetical protein	protein coding gene	CNAG_02070	N/A	N/A	172	519	hypothetical protein	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
CNAG_06935	NA	-3.146	5.49e-60	-3.219	3.905999999999998e-288	-3.06	2.9209999999999987e-94	-9.425	CNAG_06935	5	Cryptococcus neoformans var. grubii H99	"CP003822.1:1,566,433..1,567,424(-)"	isochorismatase hydrolase	protein coding gene	CNAG_06935	IPR000868;IPR036380	Isochorismatase-like;Isochorismatase-like superfamily	191	576	isochorismatase hydrolase	N/A	N/A	N/A	N/A	catalytic activity;hydrolase activity	N/A	Isochorismatase-like	PF00857	N/A
CNAG_00465	NA	-3.829	4.8849999999999995e-73	-2.652	4.2749999999999996e-92	-2.857	7.093999999999998e-98	-9.338	CNAG_00465	6	Cryptococcus neoformans var. grubii H99	"CP003820.1:1,208,203..1,209,072(-)"	hypothetical protein	protein coding gene	CNAG_00465	N/A	N/A	79	240	hypothetical protein	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
CNAG_06102	NA	-2.132	4.065e-7	-3.705	6.036e-36	-3.498	8.550999999999999e-70	-9.335	CNAG_06102	7	Cryptococcus neoformans var. grubii H99	"CP003831.1:310,279..312,123(-)"	"ADP,ATP carrier protein, ADP,ATP carrier protein, variant 2, ADP,ATP carrier protein, variant 3, ADP,ATP carrier protein, variant 1"	protein coding gene	CNAG_06102	IPR002067;IPR002113;IPR018108;IPR023395	Mitochondrial carrier protein;Adenine nucleotide translocator 1;Mitochondrial substrate/solute carrier;Mitochondrial carrier domain superfamily	319	960	"ADP,ATP carrier protein, variant 3"	N/A	N/A	N/A	transmembrane transport	ATP transmembrane transporter activity;transmembrane transporter activity	integral component of membrane;mitochondrial inner membrane	Mitochondrial substrate/solute carrier	PF00153	N/A
CNAG_04737	NA	-2.968	4.37e-39	-2.395	9.832e-48	-3.964	2.5599999999999986e-137	-9.327	CNAG_04737	8	Cryptococcus neoformans var. grubii H99	"CP003829.1:536,863..541,076(-)"	hypothetical protein	protein coding gene	CNAG_04737	IPR005532;IPR016187;IPR019257;IPR024775;IPR034660	"Sulfatase-modifying factor enzyme;C-type lectin fold;Histidine-specific methyltransferase, SAM-dependent;DinB-like domain;DinB/YfiT-like putative metalloenzymes"	1020	3063	hypothetical protein	cellular response to heat	N/A	N/A	N/A	N/A	N/A	"Sulfatase-modifying factor enzyme;Histidine-specific methyltransferase, SAM-dependent;DinB-like domain"	PF03781;PF10017;PF12867	N/A
