Gene ID,Input Order,Organism,Genomic Location (Gene),Product Description,Gene Type,Input ID,Interpro ID,Interpro Description,Protein Length,CDS Length,Transcript Product Description,Curated GO Processes,Curated GO Functions,Curated GO Components,Computed GO Processes,Computed GO Functions,Computed GO Components
CNAG_03833,11,Cryptococcus neoformans var. grubii H99,"CP003821.1:959,561..960,988(-)",hypothetical protein,protein coding gene,CNAG_03833,N/A,N/A,418,1257,hypothetical protein,N/A,N/A,N/A,N/A,N/A,N/A
CNAG_01272,12,Cryptococcus neoformans var. grubii H99,"CP003824.1:734,653..736,479(+)",hypothetical protein,protein coding gene,CNAG_01272,N/A,N/A,239,720,hypothetical protein,cellular response to heat,N/A,N/A,N/A,N/A,N/A
CNAG_05662,13,Cryptococcus neoformans var. grubii H99,"CP003833.2:908,237..910,767(+)",Polyol transporter protein 1,protein coding gene,CNAG_05662,IPR003663;IPR005828;IPR005829;IPR036259,"Sugar/inositol transporter;Major facilitator,  sugar transporter-like;Sugar transporter, conserved site;MFS transporter superfamily",631,1896,Polyol transporter protein 1,N/A,N/A,N/A,carbohydrate transport;transmembrane transport,transmembrane transporter activity,integral component of membrane;membrane
CNAG_04553,14,Cryptococcus neoformans var. grubii H99,"CP003829.1:1,045,485..1,047,678(+)",hypothetical protein,protein coding gene,CNAG_04553,IPR002347;IPR036291,Short-chain dehydrogenase/reductase SDR;NAD(P)-binding domain superfamily,286,861,hypothetical protein,N/A,N/A,N/A,N/A,N/A,N/A
CNAG_02217,15,Cryptococcus neoformans var. grubii H99,"CP003825.1:887,744..892,888(-)",Chitin synthase,protein coding gene,CNAG_02217,IPR004834;IPR004835;IPR013616;IPR029044,Fungal chitin synthase;Chitin synthase;Chitin synthase N-terminal;Nucleotide-diphospho-sugar transferases,931,2796,Chitin synthase,cellular response to heat,N/A,N/A,cell wall organization;chitin biosynthetic process,chitin synthase activity;hexosyltransferase activity,integral component of membrane;plasma membrane
CNAG_03650,16,Cryptococcus neoformans var. grubii H99,"CP003821.1:440,702..441,898(+)",hypothetical protein,protein coding gene,CNAG_03650,N/A,N/A,67,204,hypothetical protein,N/A,N/A,N/A,N/A,N/A,N/A
CNAG_00827,17,Cryptococcus neoformans var. grubii H99,"CP003820.1:2,194,712..2,196,000(+)",ribose 5-phosphate isomerase,protein coding gene,CNAG_00827,IPR003500;IPR011860;IPR036569,"Sugar-phosphate isomerase, RpiB/LacA/LacB family;Ribose 5-phosphate isomerase B, Actinobacteria-type;Sugar-phosphate isomerase, RpiB/LacA/LacB superfamily",169,510,ribose 5-phosphate isomerase,N/A,N/A,N/A,carbohydrate metabolic process,isomerase activity,N/A
CNAG_01446,18,Cryptococcus neoformans var. grubii H99,"CP003824.1:290,468..291,329(-)","heat shock protein, 12Kda",protein coding gene,CNAG_01446,IPR007250,Heat shock protein 9/12,70,213,"heat shock protein, 12Kda",N/A,N/A,N/A,N/A,N/A,N/A
CNAG_06347,19,Cryptococcus neoformans var. grubii H99,"CP003832.1:258,556..260,437(-)",pr4/barwin domain protein,protein coding gene,CNAG_06347,IPR036908,RlpA-like domain superfamily,124,375,pr4/barwin domain protein,N/A,N/A,N/A,N/A,N/A,N/A
CNAG_05666,20,Cryptococcus neoformans var. grubii H99,"CP003833.2:922,786..924,521(-)",hypothetical protein,protein coding gene,CNAG_05666,N/A,N/A,181,546,hypothetical protein,N/A,N/A,N/A,N/A,N/A,N/A
CNAG_00485,21,Cryptococcus neoformans var. grubii H99,"CP003820.1:1,247,319..1,248,954(-)",hypothetical protein,protein coding gene,CNAG_00485,N/A,N/A,349,1050,hypothetical protein,cellular response to heat,N/A,N/A,N/A,N/A,integral component of membrane
CNAG_00587,22,Cryptococcus neoformans var. grubii H99,"CP003820.1:1,508,791..1,510,506(-)",hypothetical protein,protein coding gene,CNAG_00587,IPR000772;IPR035992,"Ricin B, lectin domain;Ricin B-like lectins",185,558,hypothetical protein,N/A,N/A,N/A,N/A,N/A,N/A
CNAG_01735,23,Cryptococcus neoformans var. grubii H99,"CP003830.1:753,206..753,908(-)",hypothetical protein,protein coding gene,CNAG_01735,N/A,N/A,71,216,hypothetical protein,N/A,N/A,N/A,N/A,N/A,N/A
CNAG_01121,24,Cryptococcus neoformans var. grubii H99,"CP003824.1:1,149,719..1,150,942(-)",hypothetical protein,protein coding gene,CNAG_01121,N/A,N/A,147,444,hypothetical protein,cellular response to heat,N/A,N/A,N/A,N/A,N/A
CNAG_06281,25,Cryptococcus neoformans var. grubii H99,"CP003832.1:84,183..85,181(-)",hypothetical protein,protein coding gene,CNAG_06281,N/A,N/A,273,822,hypothetical protein,N/A,N/A,N/A,N/A,N/A,integral component of membrane
CNAG_02934,26,Cryptococcus neoformans var. grubii H99,"CP003822.1:410,064..413,275(-)","hypothetical protein, variant, hypothetical protein",protein coding gene,CNAG_02934,N/A,N/A,675,2028,"hypothetical protein, variant",N/A,N/A,N/A,N/A,N/A,integral component of membrane
CNAG_03058,27,Cryptococcus neoformans var. grubii H99,"CP003822.1:98,697..99,469(+)",hypothetical protein,protein coding gene,CNAG_03058,N/A,N/A,114,345,hypothetical protein,N/A,N/A,extracellular vesicle,N/A,N/A,N/A
CNAG_00932,28,Cryptococcus neoformans var. grubii H99,"CP003824.1:1,598,930..1,600,234(+)",hypothetical protein,protein coding gene,CNAG_00932,IPR016040;IPR036291,NAD(P)-binding domain;NAD(P)-binding domain superfamily,241,726,hypothetical protein,N/A,N/A,N/A,N/A,N/A,N/A
CNAG_01955,29,Cryptococcus neoformans var. grubii H99,"CP003830.1:1,358,706..1,360,155(+)",Alcohol dehydrogenase,protein coding gene,CNAG_01955,IPR011032;IPR013149;IPR013154;IPR036291,"GroES-like superfamily;Alcohol dehydrogenase, C-terminal;Alcohol dehydrogenase, N-terminal;NAD(P)-binding domain superfamily",367,1104,Alcohol dehydrogenase,N/A,N/A,N/A,obsolete oxidation-reduction process,N/A,N/A
CNAG_02839,30,Cryptococcus neoformans var. grubii H99,"CP003822.1:643,021..645,122(+)",hypothetical protein,protein coding gene,CNAG_02839,IPR023753;IPR036188,FAD/NAD(P)-binding domain;FAD/NAD(P)-binding domain superfamily,435,1308,hypothetical protein,N/A,N/A,N/A,obsolete oxidation-reduction process,oxidoreductase activity,N/A
CNAG_03007,31,Cryptococcus neoformans var. grubii H99,"CP003822.1:224,773..225,984(-)",hypothetical protein,protein coding gene,CNAG_03007,IPR022234,Protein of unknown function DUF3759,111,336,hypothetical protein,N/A,N/A,N/A,N/A,N/A,N/A
CNAG_03519,32,Cryptococcus neoformans var. grubii H99,"CP003827.1:1,173,522..1,176,609(+)","cytoplasmic protein, cytoplasmic protein, variant 1, cytoplasmic protein, variant 2",protein coding gene,CNAG_03519,IPR002830;IPR032903,UbiD decarboxylyase family;UbiD-like decarboxylase/ferulic acid decarboxylase 1,447,1344,cytoplasmic protein,N/A,N/A,N/A,cinnamic acid catabolic process;ferulate metabolic process,carboxy-lyase activity;metal ion binding,cytoplasm
CNAG_06336,33,Cryptococcus neoformans var. grubii H99,"CP003832.1:226,361..229,048(-)","glucan 1,3-beta-glucosidase",protein coding gene,CNAG_06336,IPR000490;IPR017853,Glycoside hydrolase family 17;Glycoside hydrolase superfamily,496,1491,"glucan 1,3-beta-glucosidase",N/A,N/A,N/A,carbohydrate metabolic process,"hydrolase activity, hydrolyzing O-glycosyl compounds",cell wall;integral component of membrane
CNAG_03224,34,Cryptococcus neoformans var. grubii H99,"CP003827.1:385,970..386,833(-)",hypothetical protein,protein coding gene,CNAG_03224,N/A,N/A,211,636,hypothetical protein,N/A,N/A,N/A,N/A,N/A,N/A
CNAG_00586,35,Cryptococcus neoformans var. grubii H99,"CP003820.1:1,507,483..1,508,585(+)",hypothetical protein,protein coding gene,CNAG_00586,N/A,N/A,109,330,hypothetical protein,N/A,N/A,N/A,N/A,N/A,N/A
CNAG_06453,36,Cryptococcus neoformans var. grubii H99,"CP003832.1:522,275..523,671(-)",benzodiazapine receptor,protein coding gene,CNAG_06453,IPR004307,TspO/MBR-related protein,178,537,benzodiazapine receptor,N/A,N/A,N/A,N/A,N/A,integral component of membrane
CNAG_05387,37,Cryptococcus neoformans var. grubii H99,"CP003833.2:172,542..175,698(-)",galactose transporter,protein coding gene,CNAG_05387,IPR003663;IPR005828;IPR005829;IPR036259,"Sugar/inositol transporter;Major facilitator,  sugar transporter-like;Sugar transporter, conserved site;MFS transporter superfamily",550,1653,galactose transporter,N/A,N/A,N/A,transmembrane transport,transmembrane transporter activity,integral component of membrane;membrane
CNAG_06027,38,Cryptococcus neoformans var. grubii H99,"CP003831.1:112,960..115,305(-)",aryl-alcohol dehydrogenase,protein coding gene,CNAG_06027,IPR023210;IPR036812,NADP-dependent oxidoreductase domain;NADP-dependent oxidoreductase domain superfamily,400,1203,aryl-alcohol dehydrogenase,N/A,N/A,N/A,N/A,N/A,N/A
CNAG_01223,39,Cryptococcus neoformans var. grubii H99,"CP003824.1:885,744..887,649(+)",hypothetical protein,protein coding gene,CNAG_01223,IPR001283;IPR014044;IPR034120;IPR035940,"Cysteine-rich  secretory protein-related;CAP domain;Pry1-like, SCP domain;CAP superfamily",247,744,hypothetical protein,N/A,N/A,N/A,N/A,N/A,N/A
CNAG_04735,40,Cryptococcus neoformans var. grubii H99,"CP003829.1:544,142..547,379(+)",extracellular elastinolytic metalloproteinase,protein coding gene,CNAG_04735,IPR001842;IPR011096,"Peptidase M36, fungalysin;FTP domain",831,2496,extracellular elastinolytic metalloproteinase,N/A,N/A,extracellular region,N/A,metalloendopeptidase activity;zinc ion binding,extracellular space
CNAG_03491,41,Cryptococcus neoformans var. grubii H99,"CP003827.1:1,096,968..1,098,202(+)",cleavage and polyadenylation specificity factor subunit 5,protein coding gene,CNAG_03491,IPR015797;IPR016706,NUDIX hydrolase-like domain superfamily;Cleavage/polyadenylation specificity factor subunit 5,237,714,cleavage and polyadenylation specificity factor subunit 5,N/A,N/A,N/A,mRNA polyadenylation,hydrolase activity;mRNA binding,cytoplasm;mRNA cleavage factor complex
CNAG_05916,42,Cryptococcus neoformans var. grubii H99,"CP003826.1:1,209,102..1,210,628(+)",hypothetical protein,protein coding gene,CNAG_05916,N/A,N/A,331,996,hypothetical protein,cellular response to heat,N/A,N/A,N/A,N/A,N/A
CNAG_00908,43,Cryptococcus neoformans var. grubii H99,"CP003824.1:1,660,563..1,661,540(-)",hypothetical protein,protein coding gene,CNAG_00908,N/A,N/A,298,897,hypothetical protein,N/A,N/A,N/A,N/A,N/A,integral component of membrane
CNAG_01585,44,Cryptococcus neoformans var. grubii H99,"CP003830.1:358,724..359,659(+)",hypothetical protein,protein coding gene,CNAG_01585,N/A,N/A,113,342,hypothetical protein,N/A,N/A,N/A,N/A,N/A,N/A
CNAG_04552,45,Cryptococcus neoformans var. grubii H99,"CP003829.1:1,048,569..1,051,139(+)",putative myo-inositol transporter,protein coding gene,CNAG_04552,IPR003663;IPR005828;IPR005829;IPR036259,"Sugar/inositol transporter;Major facilitator,  sugar transporter-like;Sugar transporter, conserved site;MFS transporter superfamily",566,1701,putative myo-inositol transporter,N/A,N/A,N/A,transmembrane transport,transmembrane transporter activity,integral component of membrane;membrane
CNAG_05641,46,Cryptococcus neoformans var. grubii H99,"CP003833.2:853,581..854,668(-)","hypothetical protein, variant, hypothetical protein",protein coding gene,CNAG_05641,N/A,N/A,97,294,"hypothetical protein, variant",N/A,N/A,N/A,N/A,N/A,N/A
CNAG_00653,47,Cryptococcus neoformans var. grubii H99,"CP003820.1:1,700,232..1,704,503(+)","hypothetical protein, hypothetical protein, variant 1, hypothetical protein, variant 2",protein coding gene,CNAG_00653,N/A,N/A,937,2814,hypothetical protein,N/A,N/A,N/A,N/A,N/A,N/A
CNAG_03922,48,Cryptococcus neoformans var. grubii H99,"CP003821.1:1,194,741..1,196,350(+)",hypothetical protein,protein coding gene,CNAG_03922,IPR008030;IPR036291,NmrA-like domain;NAD(P)-binding domain superfamily,296,891,hypothetical protein,N/A,N/A,N/A,N/A,N/A,N/A
CNAG_04185,49,Cryptococcus neoformans var. grubii H99,"CP003828.1:232,478..233,891(-)",hypothetical protein,protein coding gene,CNAG_04185,N/A,N/A,256,771,hypothetical protein,N/A,N/A,N/A,N/A,N/A,N/A
CNAG_00465,50,Cryptococcus neoformans var. grubii H99,"CP003820.1:1,208,203..1,209,072(-)",hypothetical protein,protein coding gene,CNAG_00465,N/A,N/A,79,240,hypothetical protein,N/A,N/A,N/A,N/A,N/A,N/A
CNAG_01960,51,Cryptococcus neoformans var. grubii H99,"CP003830.1:1,369,778..1,372,206(-)",efflux protein EncT,protein coding gene,CNAG_01960,IPR011701;IPR036259,Major facilitator superfamily;MFS transporter superfamily,561,1686,efflux protein EncT,N/A,N/A,N/A,transmembrane transport,transmembrane transporter activity,integral component of membrane
CNAG_03143,52,Cryptococcus neoformans var. grubii H99,"CP003827.1:173,772..175,188(+)",hypothetical protein,protein coding gene,CNAG_03143,IPR007250,Heat shock protein 9/12,83,252,hypothetical protein,N/A,N/A,N/A,N/A,N/A,N/A
CNAG_03002,53,Cryptococcus neoformans var. grubii H99,"CP003822.1:234,102..234,969(+)",hypothetical protein,protein coding gene,CNAG_03002,N/A,N/A,164,495,hypothetical protein,N/A,N/A,N/A,N/A,N/A,N/A
CNAG_00637,54,Cryptococcus neoformans var. grubii H99,"CP003820.1:1,650,021..1,652,045(+)",Cystathionine beta-synthase,protein coding gene,CNAG_00637,IPR001216;IPR001926;IPR036052,"Cysteine synthase/cystathionine beta-synthase, pyridoxal-phosphate attachment site;Pyridoxal-phosphate dependent enzyme;Tryptophan synthase beta subunit-like PLP-dependent enzyme",398,1197,Cystathionine beta-synthase,N/A,N/A,N/A,cysteine biosynthetic process from serine,N/A,N/A
CNAG_05299,55,Cryptococcus neoformans var. grubii H99,"CP003823.1:976,775..978,068(-)",oxidoreductase,protein coding gene,CNAG_05299,IPR018170;IPR020471;IPR023210;IPR036812,"Aldo/keto reductase, conserved site;Aldo/keto reductase;NADP-dependent oxidoreductase domain;NADP-dependent oxidoreductase domain superfamily",300,903,oxidoreductase,N/A,N/A,N/A,obsolete oxidation-reduction process,oxidoreductase activity,integral component of membrane
CNAG_02685,56,Cryptococcus neoformans var. grubii H99,"CP003822.1:1,018,998..1,021,264(-)",hypothetical protein,protein coding gene,CNAG_02685,IPR000782;IPR036378,FAS1 domain;FAS1 domain superfamily,502,1509,hypothetical protein,N/A,N/A,N/A,N/A,N/A,N/A
CNAG_03857,57,Cryptococcus neoformans var. grubii H99,"CP003821.1:1,023,483..1,024,825(+)",hypothetical protein,protein coding gene,CNAG_03857,N/A,N/A,253,762,hypothetical protein,N/A,N/A,N/A,N/A,N/A,integral component of membrane
CNAG_03465,58,Cryptococcus neoformans var. grubii H99,"CP003827.1:1,019,744..1,024,625(+)",laccase,protein coding gene,CNAG_03465,IPR001117;IPR008972;IPR011706;IPR011707,"Multicopper oxidase, type 1;Cupredoxin;Multicopper oxidase, type 2;Multicopper oxidase, type 3",624,1875,laccase,melanin biosynthetic process,N/A,N/A,obsolete oxidation-reduction process,copper ion binding;hydroquinone:oxygen oxidoreductase activity;oxidoreductase activity,cell wall;extracellular region
CNAG_05258,59,Cryptococcus neoformans var. grubii H99,"CP003823.1:862,908..864,968(+)",glucose-methanol-choline oxidoreductase,protein coding gene,CNAG_05258,IPR000172;IPR007867;IPR012132;IPR036188,"Glucose-methanol-choline oxidoreductase, N-terminal;Glucose-methanol-choline oxidoreductase, C-terminal;Glucose-methanol-choline oxidoreductase;FAD/NAD(P)-binding domain superfamily",588,1767,glucose-methanol-choline oxidoreductase,N/A,N/A,N/A,obsolete oxidation-reduction process,"flavin adenine dinucleotide binding;oxidoreductase activity, acting on CH-OH group of donors",N/A
CNAG_06493,60,Cryptococcus neoformans var. grubii H99,"CP003832.1:664,003..665,206(-)",hypothetical protein,protein coding gene,CNAG_06493,N/A,N/A,232,699,hypothetical protein,N/A,N/A,N/A,N/A,N/A,N/A
CNAG_05310,61,Cryptococcus neoformans var. grubii H99,"CP003823.1:1,013,480..1,014,967(+)",nipsnap family protein,protein coding gene,CNAG_05310,IPR011008;IPR012577,Dimeric alpha-beta barrel;NIPSNAP,323,972,nipsnap family protein,N/A,N/A,N/A,N/A,N/A,N/A
CNAG_04459,62,Cryptococcus neoformans var. grubii H99,"CP003828.1:919,385..920,751(+)",hypothetical protein,protein coding gene,CNAG_04459,N/A,N/A,228,687,hypothetical protein,N/A,N/A,N/A,N/A,N/A,N/A
CNAG_05654,63,Cryptococcus neoformans var. grubii H99,"CP003833.2:887,263..888,724(+)",hypothetical protein,protein coding gene,CNAG_05654,IPR009571,"Membrane protein SUR7/Rim9-like, fungi",213,642,hypothetical protein,cellular response to heat,N/A,N/A,N/A,N/A,integral component of membrane;plasma membrane
CNAG_03084,64,Cryptococcus neoformans var. grubii H99,"CP003827.1:13,460..16,180(-)",endoribonuclease L-PSP,protein coding gene,CNAG_03084,IPR006175;IPR035959,YjgF/YER057c/UK114 family;RutC-like superfamily,148,447,endoribonuclease L-PSP,N/A,N/A,N/A,N/A,N/A,N/A
CNAG_05915,65,Cryptococcus neoformans var. grubii H99,"CP003826.1:1,206,237..1,209,084(-)",hypothetical protein,protein coding gene,CNAG_05915,N/A,N/A,631,1896,hypothetical protein,cellular response to heat,N/A,N/A,N/A,N/A,integral component of membrane
CNAG_03873,66,Cryptococcus neoformans var. grubii H99,"CP003821.1:1,057,709..1,059,821(-)","hypothetical protein, variant, hypothetical protein",protein coding gene,CNAG_03873,IPR004018,RPEL repeat,193,582,"hypothetical protein, variant",N/A,N/A,N/A,N/A,N/A,N/A
CNAG_04675,67,Cryptococcus neoformans var. grubii H99,"CP003829.1:720,936..721,756(-)",hypothetical protein,protein coding gene,CNAG_04675,N/A,N/A,234,705,hypothetical protein,N/A,N/A,N/A,N/A,N/A,N/A
CNAG_06578,68,Cryptococcus neoformans var. grubii H99,"CP003826.1:175,249..176,457(+)",hypothetical protein,protein coding gene,CNAG_06578,N/A,N/A,187,564,hypothetical protein,N/A,N/A,N/A,N/A,N/A,N/A
CNAG_03782,69,Cryptococcus neoformans var. grubii H99,"CP003821.1:802,946..804,419(-)",hypothetical protein,protein coding gene,CNAG_03782,N/A,N/A,191,576,hypothetical protein,cellular response to heat,N/A,N/A,N/A,N/A,N/A
CNAG_01081,70,Cryptococcus neoformans var. grubii H99,"CP003824.1:1,255,367..1,256,996(-)",hypothetical protein,protein coding gene,CNAG_01081,IPR036291,NAD(P)-binding domain superfamily,313,942,hypothetical protein,cellular response to heat,N/A,N/A,N/A,N/A,N/A
CNAG_06285,71,Cryptococcus neoformans var. grubii H99,"CP003832.1:95,628..96,327(-)",hypothetical protein,protein coding gene,CNAG_06285,N/A,N/A,159,480,hypothetical protein,N/A,N/A,N/A,N/A,N/A,N/A
CNAG_04105,72,Cryptococcus neoformans var. grubii H99,"CP003828.1:17,302..17,916(-)",hypothetical protein,protein coding gene,CNAG_04105,N/A,N/A,77,234,hypothetical protein,N/A,N/A,N/A,N/A,N/A,N/A
CNAG_04016,73,Cryptococcus neoformans var. grubii H99,"CP003821.1:1,406,038..1,408,137(+)",Identified spore protein 5,protein coding gene,CNAG_04016,IPR009078,Ferritin-like superfamily,298,897,Identified spore protein 5,cellular response to heat,N/A,N/A,N/A,N/A,N/A
CNAG_01506,74,Cryptococcus neoformans var. grubii H99,"CP003830.1:134,511..136,841(-)",hypothetical protein,protein coding gene,CNAG_01506,N/A,N/A,317,954,hypothetical protein,cellular response to heat;cellular response to salt stress,N/A,N/A,N/A,N/A,N/A
CNAG_05089,75,Cryptococcus neoformans var. grubii H99,"CP003823.1:411,820..414,068(-)","hypothetical protein, variant, hypothetical protein",protein coding gene,CNAG_05089,N/A,N/A,648,1947,"hypothetical protein, variant",N/A,N/A,N/A,N/A,N/A,N/A
CNAG_02070,76,Cryptococcus neoformans var. grubii H99,"CP003825.1:1,279,201..1,281,526(+)",hypothetical protein,protein coding gene,CNAG_02070,N/A,N/A,172,519,hypothetical protein,N/A,N/A,N/A,N/A,N/A,N/A
CNAG_05160,77,Cryptococcus neoformans var. grubii H99,"CP003823.1:591,167..591,683(-)",hypothetical protein,protein coding gene,CNAG_05160,N/A,N/A,57,174,hypothetical protein,N/A,N/A,N/A,N/A,N/A,N/A
CNAG_03999,78,Cryptococcus neoformans var. grubii H99,"CP003821.1:1,362,855..1,364,055(-)",hypothetical protein,protein coding gene,CNAG_03999,IPR011051,RmlC-like cupin domain superfamily,167,504,hypothetical protein,N/A,N/A,N/A,N/A,N/A,N/A
CNAG_01131,79,Cryptococcus neoformans var. grubii H99,"CP003824.1:1,119,168..1,120,856(-)",hypothetical protein,protein coding gene,CNAG_01131,N/A,N/A,65,198,hypothetical protein,N/A,N/A,N/A,N/A,N/A,N/A
CNAG_06524,80,Cryptococcus neoformans var. grubii H99,"CP003826.1:7,046..10,253(+)","hypothetical protein, variant, hypothetical protein",protein coding gene,CNAG_06524,IPR013112;IPR013121;IPR013130;IPR017938;IPR039261,"FAD-binding 8;Ferric reductase, NAD binding domain;Ferric reductase transmembrane component-like domain;Riboflavin synthase-like beta-barrel;Ferredoxin-NADP reductase (FNR), nucleotide-binding domain",653,1962,hypothetical protein,melanin biosynthetic process,"oxidoreductase activity, acting on diphenols and related substances as donors, oxygen as acceptor",N/A,ion transport;obsolete oxidation-reduction process,oxidoreductase activity,integral component of membrane
CNAG_06698,81,Cryptococcus neoformans var. grubii H99,"CP003826.1:519,535..521,279(-)",phosphatase,protein coding gene,CNAG_06698,IPR006439;IPR036412,"HAD hydrolase, subfamily IA;HAD-like superfamily",325,978,phosphatase,N/A,N/A,N/A,N/A,hydrolase activity,N/A
CNAG_03234,82,Cryptococcus neoformans var. grubii H99,"CP003827.1:405,663..409,601(+)","cell wall surface anchor protein, cell wall surface anchor protein, variant",protein coding gene,CNAG_03234,N/A,N/A,1078,3237,cell wall surface anchor protein,N/A,N/A,N/A,N/A,N/A,N/A
CNAG_05458,83,Cryptococcus neoformans var. grubii H99,"CP003833.2:363,578..365,509(-)","endo-1,3(4)-beta-glucanase",protein coding gene,CNAG_05458,IPR013320,Concanavalin A-like lectin/glucanase domain superfamily,368,1107,"endo-1,3(4)-beta-glucanase",N/A,N/A,N/A,carbohydrate metabolic process,"hydrolase activity, hydrolyzing O-glycosyl compounds",N/A
CNAG_05377,84,Cryptococcus neoformans var. grubii H99,"CP003833.2:137,967..140,909(-)","myo-inositol transporter, putative",protein coding gene,CNAG_05377,IPR003663;IPR005828;IPR005829;IPR036259,"Sugar/inositol transporter;Major facilitator,  sugar transporter-like;Sugar transporter, conserved site;MFS transporter superfamily",590,1773,"myo-inositol transporter, putative",N/A,N/A,N/A,transmembrane transport,transmembrane transporter activity,integral component of membrane;membrane
CNAG_05264,85,Cryptococcus neoformans var. grubii H99,"CP003823.1:880,187..883,064(+)","alpha-amylase AmyA, alpha-amylase AmyA, variant",protein coding gene,CNAG_05264,IPR006047;IPR015340;IPR017853,"Glycosyl hydrolase, family 13, catalytic domain;Alpha-amylase, domain of unknown function DUF1966, C-terminal;Glycoside hydrolase superfamily",474,1425,alpha-amylase AmyA,N/A,N/A,N/A,carbohydrate catabolic process;carbohydrate metabolic process,alpha-amylase activity;alpha-amylase activity (releasing maltohexaose);calcium ion binding;catalytic activity,N/A
CNAG_00981,86,Cryptococcus neoformans var. grubii H99,"CP003824.1:1,512,777..1,514,455(+)",hypothetical protein,protein coding gene,CNAG_00981,N/A,N/A,392,1179,hypothetical protein,N/A,protein binding,N/A,N/A,N/A,N/A
CNAG_06507,87,Cryptococcus neoformans var. grubii H99,"CP003832.1:698,252..699,893(-)",hypothetical protein,protein coding gene,CNAG_06507,IPR036249;IPR036282,"Thioredoxin-like superfamily;Glutathione S-transferase, C-terminal domain superfamily",218,657,hypothetical protein,N/A,N/A,N/A,N/A,protein binding,N/A
CNAG_03667,88,Cryptococcus neoformans var. grubii H99,"CP003821.1:484,876..486,098(-)",hypothetical protein,protein coding gene,CNAG_03667,N/A,N/A,138,417,hypothetical protein,N/A,N/A,N/A,N/A,N/A,N/A
