Gene ID,Input Order,Organism,Genomic Location (Gene),Product Description,Gene Type,Input ID,Interpro ID,Interpro Description,Protein Length,CDS Length,Transcript Product Description,Curated GO Processes,Curated GO Functions,Curated GO Components,Computed GO Processes,Computed GO Functions,Computed GO Components
CNAG_00749,17,Cryptococcus neoformans var. grubii H99,"CP003820.1:1,966,675..1,968,848(+)",alternative sulfate transporter,protein coding gene,CNAG_00749,IPR011701;IPR036259,Major facilitator superfamily;MFS transporter superfamily,504,1515,alternative sulfate transporter,N/A,N/A,N/A,transmembrane transport,transmembrane transporter activity,integral component of membrane
CNAG_05916,18,Cryptococcus neoformans var. grubii H99,"CP003826.1:1,209,102..1,210,628(+)",hypothetical protein,protein coding gene,CNAG_05916,N/A,N/A,331,996,hypothetical protein,cellular response to heat,N/A,N/A,N/A,N/A,N/A
CNAG_04142,19,Cryptococcus neoformans var. grubii H99,"CP003828.1:114,834..117,004(-)",tartrate transporter,protein coding gene,CNAG_04142,IPR011701;IPR036259,Major facilitator superfamily;MFS transporter superfamily,530,1593,tartrate transporter,N/A,N/A,N/A,transmembrane transport,transmembrane transporter activity,integral component of membrane
CNAG_03782,20,Cryptococcus neoformans var. grubii H99,"CP003821.1:802,946..804,419(-)",hypothetical protein,protein coding gene,CNAG_03782,N/A,N/A,191,576,hypothetical protein,cellular response to heat,N/A,N/A,N/A,N/A,N/A
CNAG_03519,21,Cryptococcus neoformans var. grubii H99,"CP003827.1:1,173,522..1,176,609(+)","cytoplasmic protein, cytoplasmic protein, variant 1, cytoplasmic protein, variant 2",protein coding gene,CNAG_03519,IPR002830;IPR032903,UbiD decarboxylyase family;UbiD-like decarboxylase/ferulic acid decarboxylase 1,447,1344,cytoplasmic protein,N/A,N/A,N/A,cinnamic acid catabolic process;ferulate metabolic process,carboxy-lyase activity;metal ion binding,cytoplasm
CNAG_00485,22,Cryptococcus neoformans var. grubii H99,"CP003820.1:1,247,319..1,248,954(-)",hypothetical protein,protein coding gene,CNAG_00485,N/A,N/A,349,1050,hypothetical protein,cellular response to heat,N/A,N/A,N/A,N/A,integral component of membrane
CNAG_03650,23,Cryptococcus neoformans var. grubii H99,"CP003821.1:440,702..441,898(+)",hypothetical protein,protein coding gene,CNAG_03650,N/A,N/A,67,204,hypothetical protein,N/A,N/A,N/A,N/A,N/A,N/A
CNAG_00827,24,Cryptococcus neoformans var. grubii H99,"CP003820.1:2,194,712..2,196,000(+)",ribose 5-phosphate isomerase,protein coding gene,CNAG_00827,IPR003500;IPR011860;IPR036569,"Sugar-phosphate isomerase, RpiB/LacA/LacB family;Ribose 5-phosphate isomerase B, Actinobacteria-type;Sugar-phosphate isomerase, RpiB/LacA/LacB superfamily",169,510,ribose 5-phosphate isomerase,N/A,N/A,N/A,carbohydrate metabolic process,isomerase activity,N/A
CNAG_03867,25,Cryptococcus neoformans var. grubii H99,"CP003821.1:1,045,147..1,046,231(+)",hypothetical protein,protein coding gene,CNAG_03867,N/A,N/A,204,615,hypothetical protein,N/A,N/A,N/A,N/A,N/A,N/A
CNAG_00979,26,Cryptococcus neoformans var. grubii H99,"CP003824.1:1,517,506..1,520,015(+)",Copper uptake transporter,protein coding gene,CNAG_00979,IPR007274,Ctr copper transporter,197,594,Copper uptake transporter,copper ion import,"oxidoreductase activity, acting on diphenols and related substances as donors, oxygen as acceptor",plasma membrane,cellular copper ion homeostasis;copper ion transmembrane transport,copper ion transmembrane transporter activity,integral component of membrane
CNAG_04675,27,Cryptococcus neoformans var. grubii H99,"CP003829.1:720,936..721,756(-)",hypothetical protein,protein coding gene,CNAG_04675,N/A,N/A,234,705,hypothetical protein,N/A,N/A,N/A,N/A,N/A,N/A
CNAG_01506,28,Cryptococcus neoformans var. grubii H99,"CP003830.1:134,511..136,841(-)",hypothetical protein,protein coding gene,CNAG_01506,N/A,N/A,317,954,hypothetical protein,cellular response to heat;cellular response to salt stress,N/A,N/A,N/A,N/A,N/A
CNAG_00269,29,Cryptococcus neoformans var. grubii H99,"CP003820.1:701,715..703,882(+)",Sorbitol dehydrogenase,protein coding gene,CNAG_00269,IPR002328;IPR011032;IPR013149;IPR013154;IPR036291,"Alcohol dehydrogenase, zinc-type, conserved site;GroES-like superfamily;Alcohol dehydrogenase, C-terminal;Alcohol dehydrogenase, N-terminal;NAD(P)-binding domain superfamily",416,1251,Sorbitol dehydrogenase,N/A,N/A,N/A,obsolete oxidation-reduction process,oxidoreductase activity;zinc ion binding,N/A
CNAG_06102,30,Cryptococcus neoformans var. grubii H99,"CP003831.1:310,279..312,123(-)","ADP,ATP carrier protein, ADP,ATP carrier protein, variant 2, ADP,ATP carrier protein, variant 3, ADP,ATP carrier protein, variant 1",protein coding gene,CNAG_06102,IPR002067;IPR002113;IPR018108;IPR023395,Mitochondrial carrier protein;Adenine nucleotide translocator 1;Mitochondrial substrate/solute carrier;Mitochondrial carrier domain superfamily,319,960,"ADP,ATP carrier protein, variant 3",N/A,N/A,N/A,transmembrane transport,ATP transmembrane transporter activity;transmembrane transporter activity,integral component of membrane;mitochondrial inner membrane
CNAG_05387,31,Cryptococcus neoformans var. grubii H99,"CP003833.2:172,542..175,698(-)",galactose transporter,protein coding gene,CNAG_05387,IPR003663;IPR005828;IPR005829;IPR036259,"Sugar/inositol transporter;Major facilitator,  sugar transporter-like;Sugar transporter, conserved site;MFS transporter superfamily",550,1653,galactose transporter,N/A,N/A,N/A,transmembrane transport,transmembrane transporter activity,integral component of membrane;membrane
CNAG_06347,32,Cryptococcus neoformans var. grubii H99,"CP003832.1:258,556..260,437(-)",pr4/barwin domain protein,protein coding gene,CNAG_06347,IPR036908,RlpA-like domain superfamily,124,375,pr4/barwin domain protein,N/A,N/A,N/A,N/A,N/A,N/A
CNAG_03797,33,Cryptococcus neoformans var. grubii H99,"CP003821.1:836,660..837,565(+)",hypothetical protein,protein coding gene,CNAG_03797,N/A,N/A,212,639,hypothetical protein,N/A,N/A,N/A,N/A,N/A,integral component of membrane
CNAG_06009,34,Cryptococcus neoformans var. grubii H99,"CP003831.1:65,643..68,360(+)",cyclohydrolase,protein coding gene,CNAG_06009,IPR000926;IPR022163;IPR032677;IPR036144,"GTP cyclohydrolase II, RibA;GTP cyclohydrolase N-terminal;GTP cyclohydrolase II;RibA-like superfamily",562,1689,cyclohydrolase,N/A,N/A,N/A,riboflavin biosynthetic process,GTP binding;GTP cyclohydrolase II activity,N/A
CNAG_03199,35,Cryptococcus neoformans var. grubii H99,"CP003827.1:319,487..321,580(-)",FAD dependent oxidoreductase,protein coding gene,CNAG_03199,IPR006076;IPR036188,FAD dependent oxidoreductase;FAD/NAD(P)-binding domain superfamily,374,1125,FAD dependent oxidoreductase,N/A,N/A,N/A,obsolete oxidation-reduction process,oxidoreductase activity,N/A
CNAG_01735,36,Cryptococcus neoformans var. grubii H99,"CP003830.1:753,206..753,908(-)",hypothetical protein,protein coding gene,CNAG_01735,N/A,N/A,71,216,hypothetical protein,N/A,N/A,N/A,N/A,N/A,N/A
CNAG_05278,37,Cryptococcus neoformans var. grubii H99,"CP003823.1:916,613..917,768(-)","hypothetical protein, variant, hypothetical protein",protein coding gene,CNAG_05278,N/A,N/A,150,453,hypothetical protein,N/A,N/A,N/A,N/A,N/A,N/A
CNAG_05654,38,Cryptococcus neoformans var. grubii H99,"CP003833.2:887,263..888,724(+)",hypothetical protein,protein coding gene,CNAG_05654,IPR009571,"Membrane protein SUR7/Rim9-like, fungi",213,642,hypothetical protein,cellular response to heat,N/A,N/A,N/A,N/A,integral component of membrane;plasma membrane
CNAG_02735,39,Cryptococcus neoformans var. grubii H99,"CP003822.1:877,971..879,464(+)",hypothetical protein,protein coding gene,CNAG_02735,N/A,N/A,269,810,hypothetical protein,N/A,N/A,N/A,N/A,N/A,N/A
CNAG_00586,40,Cryptococcus neoformans var. grubii H99,"CP003820.1:1,507,483..1,508,585(+)",hypothetical protein,protein coding gene,CNAG_00586,N/A,N/A,109,330,hypothetical protein,N/A,N/A,N/A,N/A,N/A,N/A
CNAG_07793,41,Cryptococcus neoformans var. grubii H99,"CP003823.1:5,841..8,118(-)",hypothetical protein,protein coding gene,CNAG_07793,N/A,N/A,661,1986,hypothetical protein,N/A,N/A,N/A,N/A,N/A,N/A
CNAG_05676,42,Cryptococcus neoformans var. grubii H99,"CP003826.1:586,245..588,684(-)","tyrosine aminotransferase, tyrosine aminotransferase, variant",protein coding gene,CNAG_05676,IPR004839;IPR005958;IPR015424,"Aminotransferase, class I/classII;Tyrosine/nicotianamine aminotransferase;Pyridoxal phosphate-dependent transferase",445,1338,tyrosine aminotransferase,N/A,N/A,N/A,biosynthetic process;cellular amino acid metabolic process,catalytic activity;pyridoxal phosphate binding;transaminase activity,N/A
CNAG_03058,43,Cryptococcus neoformans var. grubii H99,"CP003822.1:98,697..99,469(+)",hypothetical protein,protein coding gene,CNAG_03058,N/A,N/A,114,345,hypothetical protein,N/A,N/A,extracellular vesicle,N/A,N/A,N/A
CNAG_05412,44,Cryptococcus neoformans var. grubii H99,"CP003833.2:241,532..243,440(+)",hypothetical protein,protein coding gene,CNAG_05412,N/A,N/A,95,288,hypothetical protein,N/A,N/A,N/A,N/A,N/A,N/A
CNAG_02706,45,Cryptococcus neoformans var. grubii H99,"CP003822.1:951,956..953,329(+)",hypothetical protein,protein coding gene,CNAG_02706,N/A,N/A,328,987,hypothetical protein,N/A,N/A,N/A,N/A,N/A,N/A
CNAG_06336,46,Cryptococcus neoformans var. grubii H99,"CP003832.1:226,361..229,048(-)","glucan 1,3-beta-glucosidase",protein coding gene,CNAG_06336,IPR000490;IPR017853,Glycoside hydrolase family 17;Glycoside hydrolase superfamily,496,1491,"glucan 1,3-beta-glucosidase",N/A,N/A,N/A,carbohydrate metabolic process,"hydrolase activity, hydrolyzing O-glycosyl compounds",cell wall;integral component of membrane
CNAG_04553,47,Cryptococcus neoformans var. grubii H99,"CP003829.1:1,045,485..1,047,678(+)",hypothetical protein,protein coding gene,CNAG_04553,IPR002347;IPR036291,Short-chain dehydrogenase/reductase SDR;NAD(P)-binding domain superfamily,286,861,hypothetical protein,N/A,N/A,N/A,N/A,N/A,N/A
CNAG_01446,48,Cryptococcus neoformans var. grubii H99,"CP003824.1:290,468..291,329(-)","heat shock protein, 12Kda",protein coding gene,CNAG_01446,IPR007250,Heat shock protein 9/12,70,213,"heat shock protein, 12Kda",N/A,N/A,N/A,N/A,N/A,N/A
CNAG_02919,49,Cryptococcus neoformans var. grubii H99,"CP003822.1:447,025..449,966(-)",hypothetical protein,protein coding gene,CNAG_02919,IPR029032,AhpD-like,197,594,hypothetical protein,N/A,N/A,N/A,N/A,N/A,N/A
CNAG_05377,50,Cryptococcus neoformans var. grubii H99,"CP003833.2:137,967..140,909(-)","myo-inositol transporter, putative",protein coding gene,CNAG_05377,IPR003663;IPR005828;IPR005829;IPR036259,"Sugar/inositol transporter;Major facilitator,  sugar transporter-like;Sugar transporter, conserved site;MFS transporter superfamily",590,1773,"myo-inositol transporter, putative",N/A,N/A,N/A,transmembrane transport,transmembrane transporter activity,integral component of membrane;membrane
CNAG_06935,51,Cryptococcus neoformans var. grubii H99,"CP003822.1:1,566,433..1,567,424(-)",isochorismatase hydrolase,protein coding gene,CNAG_06935,IPR000868;IPR036380,Isochorismatase-like;Isochorismatase-like superfamily,191,576,isochorismatase hydrolase,N/A,N/A,N/A,N/A,catalytic activity;hydrolase activity,N/A
CNAG_06911,52,Cryptococcus neoformans var. grubii H99,"CP003822.1:1,494,627..1,495,925(+)",hypothetical protein,protein coding gene,CNAG_06911,IPR010699,Protein of unknown function DUF1275,279,840,hypothetical protein,N/A,N/A,N/A,N/A,N/A,integral component of membrane
CNAG_03233,53,Cryptococcus neoformans var. grubii H99,"CP003827.1:404,166..405,465(-)","yippee-like, putative",protein coding gene,CNAG_03233,IPR004910;IPR039058,Yippee/Mis18/Cereblon;Yippee family,134,405,"yippee-like, putative",filamentous growth,N/A,N/A,N/A,metal ion binding,N/A
CNAG_07399,54,Cryptococcus neoformans var. grubii H99,"CP003824.1:63,208..64,221(+)",hypothetical protein,protein coding gene,CNAG_07399,N/A,N/A,122,369,hypothetical protein,N/A,N/A,N/A,N/A,N/A,integral component of membrane
CNAG_01562,55,Cryptococcus neoformans var. grubii H99,"CP003830.1:288,913..291,062(+)",pr4/barwin domain protein,protein coding gene,CNAG_01562,IPR009009;IPR036908,"RlpA-like protein, double-psi beta-barrel domain;RlpA-like domain superfamily",321,966,pr4/barwin domain protein,N/A,N/A,extracellular region,N/A,N/A,N/A
CNAG_05356,56,Cryptococcus neoformans var. grubii H99,"CP003833.2:79,680..81,635(-)",hypothetical protein,protein coding gene,CNAG_05356,N/A,N/A,331,996,hypothetical protein,N/A,N/A,N/A,N/A,N/A,N/A
CNAG_00664,57,Cryptococcus neoformans var. grubii H99,"CP003820.1:1,723,137..1,725,823(+)",hypothetical protein,protein coding gene,CNAG_00664,N/A,N/A,765,2298,hypothetical protein,N/A,N/A,N/A,N/A,N/A,integral component of membrane
CNAG_03230,58,Cryptococcus neoformans var. grubii H99,"CP003827.1:397,422..398,981(-)","yippee-like, putative",protein coding gene,CNAG_03230,IPR004910;IPR039058,Yippee/Mis18/Cereblon;Yippee family,96,291,"yippee-like, putative",filamentous growth,N/A,N/A,N/A,metal ion binding,N/A
CNAG_01131,59,Cryptococcus neoformans var. grubii H99,"CP003824.1:1,119,168..1,120,856(-)",hypothetical protein,protein coding gene,CNAG_01131,N/A,N/A,65,198,hypothetical protein,N/A,N/A,N/A,N/A,N/A,N/A
CNAG_04105,60,Cryptococcus neoformans var. grubii H99,"CP003828.1:17,302..17,916(-)",hypothetical protein,protein coding gene,CNAG_04105,N/A,N/A,77,234,hypothetical protein,N/A,N/A,N/A,N/A,N/A,N/A
CNAG_05300,61,Cryptococcus neoformans var. grubii H99,"CP003823.1:978,223..981,320(+)",mitochondrial carrier protein,protein coding gene,CNAG_05300,IPR004776;IPR018108;IPR023395,Membrane transport protein;Mitochondrial substrate/solute carrier;Mitochondrial carrier domain superfamily,680,2043,mitochondrial carrier protein,N/A,N/A,N/A,transmembrane transport,N/A,integral component of membrane
CNAG_03223,62,Cryptococcus neoformans var. grubii H99,"CP003827.1:383,400..384,978(-)",hypothetical protein,protein coding gene,CNAG_03223,IPR018466,Kre9/Knh1 family,221,666,hypothetical protein,cellular response to heat,N/A,extracellular region,N/A,N/A,N/A
CNAG_04874,63,Cryptococcus neoformans var. grubii H99,"CP003829.1:140,911..143,110(+)",hypothetical protein,protein coding gene,CNAG_04874,IPR000757;IPR013320,Glycoside hydrolase family 16;Concanavalin A-like lectin/glucanase domain superfamily,381,1146,hypothetical protein,cellular response to heat,N/A,N/A,carbohydrate metabolic process,"hydrolase activity, hydrolyzing O-glycosyl compounds",N/A
CNAG_00653,64,Cryptococcus neoformans var. grubii H99,"CP003820.1:1,700,232..1,704,503(+)","hypothetical protein, hypothetical protein, variant 1, hypothetical protein, variant 2",protein coding gene,CNAG_00653,N/A,N/A,937,2814,hypothetical protein,N/A,N/A,N/A,N/A,N/A,N/A
CNAG_03084,65,Cryptococcus neoformans var. grubii H99,"CP003827.1:13,460..16,180(-)",endoribonuclease L-PSP,protein coding gene,CNAG_03084,IPR006175;IPR035959,YjgF/YER057c/UK114 family;RutC-like superfamily,148,447,endoribonuclease L-PSP,N/A,N/A,N/A,N/A,N/A,N/A
CNAG_05324,66,Cryptococcus neoformans var. grubii H99,"CP003823.1:1,055,542..1,057,987(+)",Sugar transporter,protein coding gene,CNAG_05324,IPR003663;IPR005828;IPR005829;IPR036259,"Sugar/inositol transporter;Major facilitator,  sugar transporter-like;Sugar transporter, conserved site;MFS transporter superfamily",538,1617,Sugar transporter,N/A,N/A,N/A,carbohydrate transport;transmembrane transport,transmembrane transporter activity,integral component of membrane;membrane
CNAG_04085,67,Cryptococcus neoformans var. grubii H99,"CP003821.1:1,584,624..1,588,402(-)","oxidoreductase, variant, oxidoreductase",protein coding gene,CNAG_04085,IPR006139;IPR006140;IPR029752;IPR036291,"D-isomer specific 2-hydroxyacid dehydrogenase, catalytic domain;D-isomer specific 2-hydroxyacid dehydrogenase, NAD-binding domain;D-isomer specific 2-hydroxyacid dehydrogenase, NAD-binding domain conserved site 1;NAD(P)-binding domain superfamily",435,1308,"oxidoreductase, variant",N/A,N/A,N/A,obsolete oxidation-reduction process,"NAD binding;oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor",N/A
CNAG_02489,68,Cryptococcus neoformans var. grubii H99,"CP003825.1:178,002..179,698(-)","alcohol dehydrogenase, propanol-preferring",protein coding gene,CNAG_02489,IPR011032;IPR013149;IPR013154;IPR020843;IPR036291,"GroES-like superfamily;Alcohol dehydrogenase, C-terminal;Alcohol dehydrogenase, N-terminal;Polyketide synthase, enoylreductase domain;NAD(P)-binding domain superfamily",361,1086,"alcohol dehydrogenase, propanol-preferring",N/A,N/A,N/A,obsolete oxidation-reduction process,oxidoreductase activity,N/A
CNAG_03551,69,Cryptococcus neoformans var. grubii H99,"CP003827.1:1,255,510..1,256,673(-)","hypothetical protein, hypothetical protein, variant",protein coding gene,CNAG_03551,N/A,N/A,115,348,"hypothetical protein, variant",N/A,N/A,N/A,N/A,N/A,N/A
CNAG_05032,70,Cryptococcus neoformans var. grubii H99,"CP003823.1:264,457..268,362(+)",hypothetical protein,protein coding gene,CNAG_05032,N/A,N/A,443,1332,hypothetical protein,N/A,N/A,N/A,N/A,N/A,N/A
CNAG_03143,71,Cryptococcus neoformans var. grubii H99,"CP003827.1:173,772..175,188(+)",hypothetical protein,protein coding gene,CNAG_03143,IPR007250,Heat shock protein 9/12,83,252,hypothetical protein,N/A,N/A,N/A,N/A,N/A,N/A
CNAG_06346,72,Cryptococcus neoformans var. grubii H99,"CP003832.1:254,852..256,235(-)",Barwin-like protein 1,protein coding gene,CNAG_06346,IPR001153;IPR036908,Barwin domain;RlpA-like domain superfamily,138,417,Barwin-like protein 1,N/A,N/A,N/A,defense response to bacterium;defense response to fungus,N/A,N/A
CNAG_00654,73,Cryptococcus neoformans var. grubii H99,"CP003820.1:1,705,106..1,706,138(+)",sulfiredoxin,protein coding gene,CNAG_00654,IPR003115;IPR016692;IPR036086,ParB/Sulfiredoxin;Sulfiredoxin;ParB/Sulfiredoxin superfamily,142,429,sulfiredoxin,response to fungicide;response to oxidative stress,N/A,N/A,obsolete oxidation-reduction process,ATP binding;sulfiredoxin activity,N/A
CNAG_06372,74,Cryptococcus neoformans var. grubii H99,"CP003832.1:320,990..323,352(+)",hypothetical protein,protein coding gene,CNAG_06372,N/A,N/A,142,429,hypothetical protein,N/A,N/A,N/A,N/A,N/A,N/A
CNAG_02839,75,Cryptococcus neoformans var. grubii H99,"CP003822.1:643,021..645,122(+)",hypothetical protein,protein coding gene,CNAG_02839,IPR023753;IPR036188,FAD/NAD(P)-binding domain;FAD/NAD(P)-binding domain superfamily,435,1308,hypothetical protein,N/A,N/A,N/A,obsolete oxidation-reduction process,oxidoreductase activity,N/A
CNAG_02521,76,Cryptococcus neoformans var. grubii H99,"CP003825.1:103,300..104,624(+)",hypothetical protein,protein coding gene,CNAG_02521,N/A,N/A,296,891,hypothetical protein,N/A,N/A,N/A,N/A,N/A,N/A
CNAG_03384,77,Cryptococcus neoformans var. grubii H99,"CP003827.1:810,812..812,035(-)",hypothetical protein,protein coding gene,CNAG_03384,N/A,N/A,279,840,hypothetical protein,N/A,N/A,N/A,N/A,N/A,N/A
CNAG_05089,78,Cryptococcus neoformans var. grubii H99,"CP003823.1:411,820..414,068(-)","hypothetical protein, variant, hypothetical protein",protein coding gene,CNAG_05089,N/A,N/A,648,1947,"hypothetical protein, variant",N/A,N/A,N/A,N/A,N/A,N/A
CNAG_00932,79,Cryptococcus neoformans var. grubii H99,"CP003824.1:1,598,930..1,600,234(+)",hypothetical protein,protein coding gene,CNAG_00932,IPR016040;IPR036291,NAD(P)-binding domain;NAD(P)-binding domain superfamily,241,726,hypothetical protein,N/A,N/A,N/A,N/A,N/A,N/A
CNAG_04185,80,Cryptococcus neoformans var. grubii H99,"CP003828.1:232,478..233,891(-)",hypothetical protein,protein coding gene,CNAG_04185,N/A,N/A,256,771,hypothetical protein,N/A,N/A,N/A,N/A,N/A,N/A
CNAG_01955,81,Cryptococcus neoformans var. grubii H99,"CP003830.1:1,358,706..1,360,155(+)",Alcohol dehydrogenase,protein coding gene,CNAG_01955,IPR011032;IPR013149;IPR013154;IPR036291,"GroES-like superfamily;Alcohol dehydrogenase, C-terminal;Alcohol dehydrogenase, N-terminal;NAD(P)-binding domain superfamily",367,1104,Alcohol dehydrogenase,N/A,N/A,N/A,obsolete oxidation-reduction process,N/A,N/A
CNAG_06507,82,Cryptococcus neoformans var. grubii H99,"CP003832.1:698,252..699,893(-)",hypothetical protein,protein coding gene,CNAG_06507,IPR036249;IPR036282,"Thioredoxin-like superfamily;Glutathione S-transferase, C-terminal domain superfamily",218,657,hypothetical protein,N/A,N/A,N/A,N/A,protein binding,N/A
CNAG_03833,83,Cryptococcus neoformans var. grubii H99,"CP003821.1:959,561..960,988(-)",hypothetical protein,protein coding gene,CNAG_03833,N/A,N/A,418,1257,hypothetical protein,N/A,N/A,N/A,N/A,N/A,N/A
CNAG_05180,84,Cryptococcus neoformans var. grubii H99,"CP003823.1:647,146..650,357(+)",hypothetical protein,protein coding gene,CNAG_05180,IPR000253;IPR008984,Forkhead-associated (FHA) domain;SMAD/FHA domain superfamily,817,2454,hypothetical protein,N/A,N/A,N/A,N/A,protein binding,integral component of membrane
CNAG_05160,85,Cryptococcus neoformans var. grubii H99,"CP003823.1:591,167..591,683(-)",hypothetical protein,protein coding gene,CNAG_05160,N/A,N/A,57,174,hypothetical protein,N/A,N/A,N/A,N/A,N/A,N/A
CNAG_01796,86,Cryptococcus neoformans var. grubii H99,"CP003830.1:953,108..955,938(+)","hypothetical protein, hypothetical protein, variant 1, hypothetical protein, variant 2, hypothetical protein, variant 3",protein coding gene,CNAG_01796,N/A,N/A,327,984,hypothetical protein,N/A,N/A,N/A,N/A,N/A,N/A
CNAG_02685,87,Cryptococcus neoformans var. grubii H99,"CP003822.1:1,018,998..1,021,264(-)",hypothetical protein,protein coding gene,CNAG_02685,IPR000782;IPR036378,FAS1 domain;FAS1 domain superfamily,502,1509,hypothetical protein,N/A,N/A,N/A,N/A,N/A,N/A
CNAG_00465,88,Cryptococcus neoformans var. grubii H99,"CP003820.1:1,208,203..1,209,072(-)",hypothetical protein,protein coding gene,CNAG_00465,N/A,N/A,79,240,hypothetical protein,N/A,N/A,N/A,N/A,N/A,N/A
